SimDate,Flow,TN,TP
8/8/1999 12:00,16.05365,1.65717,0.8308
8/9/1999 12:00,16.39603,1.6173,0.82926
8/10/1999 12:00,15.97613,1.61304,0.82441
8/11/1999 12:00,14.99238,1.63083,0.82245
8/12/1999 12:00,13.94632,1.65495,0.82015
8/13/1999 12:00,13.33151,1.67249,0.818
8/14/1999 12:00,12.86463,1.69002,0.82035
8/15/1999 12:00,12.3257,1.70686,0.82317
8/16/1999 12:00,11.78214,1.7135,0.82004
8/17/1999 12:00,11.46718,1.71509,0.81789
8/18/1999 12:00,12.31909,1.75212,0.83599
8/19/1999 12:00,13.99587,1.85507,0.85383
8/20/1999 12:00,15.3074,1.89273,0.84946
8/21/1999 12:00,16.28097,1.85689,0.88121
8/22/1999 12:00,18.35077,1.90539,0.9099
8/23/1999 12:00,20.4116,1.93343,0.87087
8/24/1999 12:00,20.84584,1.84975,0.88579
8/25/1999 12:00,21.51271,1.80008,0.93357
8/26/1999 12:00,22.34808,1.75439,0.97199
8/27/1999 12:00,22.51221,1.70497,0.97682
8/28/1999 12:00,21.97537,1.67273,0.94556
8/29/1999 12:00,21.0709,1.67205,0.90113
8/30/1999 12:00,19.90235,1.70074,0.86843
8/31/1999 12:00,19.04842,1.73661,0.88853
9/1/1999 12:00,20.16071,1.76773,0.96813
9/2/1999 12:00,23.70634,1.79394,1.01962
9/3/1999 12:00,27.21227,1.77785,1.02106
9/4/1999 12:00,28.75843,1.73295,0.99443
9/5/1999 12:00,27.96952,1.70012,0.95971
9/6/1999 12:00,25.597,1.68992,0.92888
9/7/1999 12:00,22.70409,1.69673,0.90123
9/8/1999 12:00,20.11121,1.71759,0.87796
9/9/1999 12:00,17.94735,1.74364,0.86146
9/10/1999 12:00,16.00327,1.77574,0.85129
9/11/1999 12:00,14.0885,1.81434,0.84864
9/12/1999 12:00,12.53525,1.84659,0.85028
9/13/1999 12:00,11.71869,1.86905,0.85114
9/14/1999 12:00,11.32564,1.86739,0.84926
9/15/1999 12:00,11.20548,1.82546,0.8513
9/16/1999 12:00,11.35275,1.7636,0.84915
9/17/1999 12:00,11.84316,1.71707,0.83507
9/18/1999 12:00,12.52048,1.72352,0.84322
9/19/1999 12:00,14.64301,1.81778,0.96849
9/20/1999 12:00,21.00537,1.91456,1.08617
9/21/1999 12:00,30.08819,1.8915,1.16083
9/22/1999 12:00,34.74729,1.82541,1.1986
9/23/1999 12:00,37.76165,1.74269,1.18873
9/24/1999 12:00,44.0561,1.67172,1.14329
9/25/1999 12:00,46.0811,1.63175,1.08086
9/26/1999 12:00,43.72728,1.61189,1.01871
9/27/1999 12:00,40.7682,1.61452,0.97804
9/28/1999 12:00,38.71181,1.62585,1.00216
9/29/1999 12:00,38.92259,1.62501,1.08054
9/30/1999 12:00,42.52654,1.60134,1.11382
10/1/1999 12:00,47.77545,1.5667,1.08281
10/2/1999 12:00,49.75759,1.54366,1.03954
10/3/1999 12:00,47.89901,1.53496,1.00637
10/4/1999 12:00,45.84076,1.54618,1.01109
10/5/1999 12:00,47.51443,1.58636,1.0999
10/6/1999 12:00,54.42741,1.63428,1.23151
10/7/1999 12:00,64.71925,1.65436,1.31035
10/8/1999 12:00,71.4724,1.63432,1.33294
10/9/1999 12:00,73.70038,1.60484,1.32496
10/10/1999 12:00,76.81282,1.57739,1.29323
10/11/1999 12:00,79.9782,1.55817,1.24698
10/12/1999 12:00,78.52316,1.54796,1.18724
10/13/1999 12:00,74.9478,1.5464,1.12204
10/14/1999 12:00,71.13093,1.55239,1.06355
10/15/1999 12:00,61.31467,1.55962,1.02001
10/16/1999 12:00,48.9156,1.5614,0.97944
10/17/1999 12:00,40.9779,1.56876,0.935
10/18/1999 12:00,36.82167,1.58837,0.88823
10/19/1999 12:00,32.415,1.61548,0.8505
10/20/1999 12:00,26.13941,1.64234,0.82716
10/21/1999 12:00,22.79479,1.66234,0.81323
10/22/1999 12:00,20.60133,1.67994,0.81737
10/23/1999 12:00,19.47206,1.69806,0.83277
10/24/1999 12:00,18.9612,1.70505,0.84376
10/25/1999 12:00,18.67143,1.6932,0.83932
10/26/1999 12:00,18.2296,1.67227,0.82397
10/27/1999 12:00,17.45078,1.6455,0.80799
10/28/1999 12:00,16.61032,1.60974,0.79752
10/29/1999 12:00,15.7681,1.57735,0.79352
10/30/1999 12:00,14.96486,1.56382,0.79474
10/31/1999 12:00,14.10825,1.56573,0.79928
11/1/1999 12:00,13.33176,1.57468,0.80657
11/2/1999 12:00,13.80151,1.58965,0.86411
11/3/1999 12:00,16.03893,1.61398,0.97659
11/4/1999 12:00,19.78561,1.60874,1.05117
11/5/1999 12:00,22.28768,1.57806,1.05887
11/6/1999 12:00,23.43424,1.55506,1.02265
11/7/1999 12:00,23.54936,1.54849,0.96324
11/8/1999 12:00,21.80658,1.55203,0.90512
11/9/1999 12:00,18.91169,1.55532,0.86671
11/10/1999 12:00,16.45939,1.55685,0.84678
11/11/1999 12:00,14.62932,1.56584,0.84079
11/12/1999 12:00,12.9321,1.57902,0.84338
11/13/1999 12:00,11.71546,1.59383,0.84829
11/14/1999 12:00,10.71643,1.60499,0.85357
11/15/1999 12:00,9.88693,1.60588,0.85959
11/16/1999 12:00,9.22584,1.5901,0.86495
11/17/1999 12:00,8.73885,1.56331,0.8693
11/18/1999 12:00,8.39943,1.54368,0.87407
11/19/1999 12:00,8.09923,1.53716,0.88033
11/20/1999 12:00,7.81789,1.53798,0.88539
11/21/1999 12:00,7.58929,1.54034,0.88681
11/22/1999 12:00,7.41323,1.54083,0.88952
11/23/1999 12:00,7.22974,1.54449,0.89258
11/24/1999 12:00,7.05413,1.54949,0.89116
11/25/1999 12:00,6.92025,1.55134,0.88933
11/26/1999 12:00,6.80509,1.55567,0.88905
11/27/1999 12:00,6.7088,1.56229,0.88917
11/28/1999 12:00,6.64252,1.5673,0.88957
11/29/1999 12:00,6.58222,1.56952,0.8911
11/30/1999 12:00,6.49686,1.5715,0.89355
12/1/1999 12:00,6.37786,1.57494,0.89621
12/2/1999 12:00,6.21624,1.57934,0.89947
12/3/1999 12:00,6.03418,1.58452,0.90326
12/4/1999 12:00,5.86279,1.5902,0.90699
12/5/1999 12:00,5.69994,1.59567,0.91135
12/6/1999 12:00,5.54188,1.6008,0.91651
12/7/1999 12:00,5.40842,1.60533,0.92067
12/8/1999 12:00,5.29786,1.60909,0.92243
12/9/1999 12:00,5.205,1.61216,0.92371
12/10/1999 12:00,5.11956,1.61425,0.92831
12/11/1999 12:00,5.01902,1.61738,0.93372
12/12/1999 12:00,4.91373,1.62195,0.93702
12/13/1999 12:00,4.81171,1.62706,0.93686
12/14/1999 12:00,4.73295,1.63206,0.93456
12/15/1999 12:00,4.68797,1.63575,0.9332
12/16/1999 12:00,4.65309,1.63979,0.93144
12/17/1999 12:00,4.63329,1.64264,0.90787
12/18/1999 12:00,5.06906,1.64849,0.89351
12/19/1999 12:00,7.31983,1.70233,0.95275
12/20/1999 12:00,12.86026,1.74265,0.99412
12/21/1999 12:00,17.12624,1.68479,0.98634
12/22/1999 12:00,19.78771,1.61478,0.9688
12/23/1999 12:00,19.19001,1.58068,0.95429
12/24/1999 12:00,16.74221,1.56137,0.94241
12/25/1999 12:00,13.51696,1.5494,0.93711
12/26/1999 12:00,10.93385,1.54882,0.93511
12/27/1999 12:00,9.42106,1.55558,0.93206
12/28/1999 12:00,8.3121,1.56271,0.92841
12/29/1999 12:00,7.49441,1.56869,0.92554
12/30/1999 12:00,6.83611,1.57696,0.92421
12/31/1999 12:00,6.31372,1.58784,0.92484
1/1/2000 12:00,5.95163,1.59721,0.92579
1/2/2000 12:00,5.68264,1.60471,0.9267
1/3/2000 12:00,5.45668,1.61213,0.9278
